Nombre,Marca,Tipo,Sexo,Rating/5,Reviews,Vol(ml),Precio,Lista_deseos,Concentracion,Formato,Fam_olfativa,Notas_Corazon,Notas_Fondo,Notas_salida,Vol(ml)_num,Precio/ml
Perfect Woman Bloom Eau de Parfum,Saphir,Perfumes de Mujer,Mujer,,,30,2.99,63,EDP,Frasco,Floral,"Violeta, Rosa, Cachemira","Vainilla, Almizcle, Sándalo","Mandarina, Mora, Notas Especiadas",30.0,0.09966666666666667
Perfect Woman Bloom Eau de Parfum,Saphir,Perfumes de Mujer,Mujer,,,200,13.9,63,EDP,Frasco,Floral,"Violeta, Rosa, Cachemira","Vainilla, Almizcle, Sándalo","Mandarina, Mora, Notas Especiadas",200.0,0.0695
Sì Eau de Parfum Estuche de Regalo,Armani,Cofres de perfumes para mujer,Mujer,,,EDP 100 ml + Body Lotion 50 ml + Mini,89.94,464,EDP,Pack de productos / Set / Cofre,,,,,,
Sì Eau de Parfum Estuche de Regalo,Armani,Cofres de perfumes para mujer,Mujer,,,EDP 50 ml + Body Lotion 50 ml + Gel 50 ml,69.95,464,EDP,Pack de productos / Set / Cofre,,,,,,
Select Blue Woman Eau de Parfum,Saphir,Perfumes de Mujer,Mujer,5.0,1,30,2.99,65,EDP,Frasco,Floral,Jazmín,Musk,"Limón, Jacinto",30.0,0.09966666666666667
Select Blue Woman Eau de Parfum,Saphir,Perfumes de Mujer,Mujer,5.0,1,200,13.89,65,EDP,Frasco,Floral,Jazmín,Musk,"Limón, Jacinto",200.0,0.06945
Bella Vida Eau de Parfum Mujer,NG Perfumes,Perfumes de Mujer,Mujer,4.75,4,15,1.0,,EDP,Frasco,Floral,"Jazmín, Iris, Hoja de Naranjo","Vainilla, Pachulí, Praliné, Granos de Tonka","Pera, Mora",15.0,0.06666666666666667
Bella Vida Eau de Parfum Mujer,NG Perfumes,Perfumes de Mujer,Mujer,4.75,4,15,1.0,,EDP,Frasco,Floral,"Jazmín, Iris, Hoja de Naranjo","Vainilla, Pachulí, Praliné, Granos de Tonka","Pera, Mora",15.0,0.06666666666666667
Bad Boy EDT,Carolina Herrera,Colonias para hombres,Mujer,4.96,23,50,54.94,1000,EDT,Vaporizador,Oriental Aromática,"Salvia, Cedro","Haba Tonka, Cacao","Bergamota, Pimienta Blanca, Pimienta Negra",50.0,1.0988
Bad Boy EDT,Carolina Herrera,Colonias para hombres,Mujer,4.96,23,100,74.95,1000,EDT,Vaporizador,Oriental Aromática,"Salvia, Cedro","Haba Tonka, Cacao","Bergamota, Pimienta Blanca, Pimienta Negra",100.0,0.7495
Bad Boy EDT,Carolina Herrera,Colonias para hombres,Mujer,4.96,23,150,93.95,1000,EDT,Vaporizador,Oriental Aromática,"Salvia, Cedro","Haba Tonka, Cacao","Bergamota, Pimienta Blanca, Pimienta Negra",150.0,0.6263333333333333
Ombré Leather,Tom Ford,Perfumes para hombres,Hombres,4.93,15,50,97.94,2000,EDP,Vaporizador,Cuero,"Cuero, Vetiver, Pachulí","Ámbar, Musgo","Cardamomo, Jazmín Sambac, Azafrán",50.0,1.9587999999999999
